"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctl1","ctl2","ctl3","ctl4","uvb1","uvb2","uvb3","uvb4","uvb5"
"15","TSPAN5",215.243425619015,-1.48508631070117,0.260158000348632,-5.70840146645898,1.14042167651072e-08,4.47805578309876e-07,312.76502220859,322.13219260215,412.399615325257,309.380266738586,108.157040067575,189.21354511524,114.820717787616,71.7522635959378,96.5701671301811
"16","MAML3",113.091855253111,-1.71653680771706,0.307641105536709,-5.57967312177739,2.40971001504503e-08,8.87074499288452e-07,225.976822328719,155.100685326961,222.730593930941,148.763308335987,76.7781457269823,58.2845295221053,58.7611908677799,22.6586095566119,48.7728116819096
"17","CFI",48.1712520730957,1.88420736723201,0.353133513927203,5.33567982907574,9.51872361526651e-08,3.19155732865523e-06,14.7376188475252,17.8962329223416,13.9206621206838,22.5219351265637,55.4137921333872,69.2656727654005,59.4366068547658,120.845917635264,59.5028302519298
"18","SH3D19",360.216959660218,-0.939558889993164,0.176235877396145,-5.33125776587029,9.75348589402278e-08,3.19155732865523e-06,456.866184273281,544.343751387892,412.399615325257,555.343505620795,291.756953762533,251.721591269382,189.116476356073,264.350444827139,276.054114119609
"19","ANXA5",1694.54350835658,1.06056555759095,0.214193211458005,4.95144337381994,7.36650557199279e-07,2.28361672731777e-05,795.83141776636,1346.69152740621,965.745934622438,1059.71631595516,1677.10175709721,2212.27801186078,1715.55660694438,2972.99839557379,2504.97160798288
"20","SLC39A8",213.153726428724,1.41220352104984,0.291005224723842,4.85284593219929,1.2170223774738e-06,3.58413090166033e-05,116.263437574921,132.730394174034,80.0438071939318,97.792613049553,366.532191340115,188.368841788833,201.949380108807,464.501495910545,270.201376717779
"21","UGT8",41.3332496143374,2.33789343945852,0.484620556847743,4.82417306988698,1.40585306450385e-06,3.69000877282419e-05,4.91253961584173,2.98270548705694,15.6607448857693,14.8170625832656,40.0581629879907,80.2468160086957,131.030701475279,48.1495453078004,34.1409681773367
"22","CCRN4L",66.8607220678067,2.19207948617099,0.454837453939542,4.81947884279196,1.43933715226246e-06,3.69000877282419e-05,29.4752376950504,28.3357021270409,8.70041382542737,8.29755504662874,50.0727037349884,189.21354511524,131.030701475279,101.019634273228,55.601005317377
"23","LRBA",239.192429699267,-1.00898556247184,0.209365268545081,-4.81925951464383,1.44092023387023e-06,3.69000877282419e-05,319.315075029712,356.433305703304,328.875642601155,333.680249375141,236.343161629145,132.61842224595,174.932740629368,136.895766071197,133.637504008432
"24","TLR2",75.1028357127624,1.65009407835309,0.35004054666417,4.71400840296424,2.42890639733069e-06,5.96094111678241e-05,32.7502641056115,25.352996639984,27.8413242413676,40.3024102264824,107.489404017775,97.1408825368422,47.9545350760043,159.554375627809,137.539328942985
"25","AREG",7.60495531259838,3.05844169213093,0.664325766724608,4.60382818991091,4.14794700884992e-06,9.7725631528504e-05,0,0,0,0,16.0232651951963,3.37881330562929,19.5870636225933,23.6027182881374,5.85273740182916
